iter	Logloss
0	0.6827542368
1	0.6724798021
2	0.6623036434
3	0.6535300356
4	0.6440657386
5	0.6348749956
6	0.6257592752
7	0.6173614792
8	0.6091438308
9	0.600666974
10	0.5926468864
11	0.5846534496
12	0.5768897267
13	0.5698915754
14	0.5634036875
15	0.5562231925
16	0.5493529032
17	0.5425861181
18	0.5364457021
19	0.5302657184
20	0.5242413469
21	0.5183765316
22	0.5124754421
23	0.5073181712
24	0.5021419664
25	0.4967762888
26	0.4922206327
27	0.487401322
28	0.4829946759
29	0.4782199353
30	0.473515729
31	0.4692236759
32	0.4649894991
33	0.4608235707
34	0.4569102266
35	0.4528027323
36	0.4490660286
37	0.4450933853
38	0.4416746607
39	0.438488612
40	0.434953605
41	0.4319740633
42	0.4284601908
43	0.4251355937
44	0.4220003901
45	0.4188115308
46	0.4157871694
47	0.4128106078
48	0.4102260287
49	0.407327616
50	0.4047972767
51	0.4024508159
52	0.3997945635
53	0.3974644285
54	0.3950435499
55	0.3925949665
56	0.3905676304
57	0.3885293211
58	0.3863535659
59	0.3841812156
60	0.3820741509
61	0.3801376754
62	0.3782199068
63	0.3762443866
64	0.3742439611
65	0.3726109129
66	0.3709044198
67	0.3692311822
68	0.3673952235
69	0.3657985493
70	0.3641096045
71	0.3625586041
72	0.3610970743
73	0.3597317497
74	0.3583275717
75	0.3569432842
76	0.3555075181
77	0.3540584677
78	0.3527650488
79	0.3515437163
80	0.3502355179
81	0.3491046508
82	0.3478722504
83	0.3467216364
84	0.3456663524
85	0.3445552552
86	0.3435765469
87	0.3425434482
88	0.3414631266
89	0.3404559013
90	0.3395326686
91	0.338572511
92	0.3376151942
93	0.3366487936
94	0.3357605099
95	0.3350199434
96	0.3341514234
97	0.3333456712
98	0.3325162922
99	0.3316439952
100	0.3308172198
101	0.3302025776
102	0.3295815682
103	0.3288628564
104	0.3282751713
105	0.3277078875
106	0.3270025858
107	0.3263537018
108	0.3256999785
109	0.3249960431
110	0.3243934478
111	0.3238668848
112	0.3233907148
113	0.3227571377
114	0.322252551
115	0.3218030937
116	0.3213229077
117	0.3208370637
118	0.3204006821
119	0.319955613
120	0.3194399943
121	0.3189360354
122	0.3184173304
123	0.3179797693
124	0.3175966731
125	0.3171857695
126	0.3166936089
127	0.3162561953
128	0.3157878109
129	0.3154735282
130	0.315010877
131	0.3146669978
132	0.314222677
133	0.3138884296
134	0.3135622114
135	0.3131437645
136	0.3127823409
137	0.312406826
138	0.3120327073
139	0.3117266886
140	0.3113653398
141	0.3110178811
142	0.3106618405
143	0.3103449042
144	0.3100183661
145	0.309729177
146	0.3094034061
147	0.3090912579
148	0.3088551998
149	0.3085711313
150	0.3083209308
151	0.3080441536
152	0.3078143442
153	0.3075355594
154	0.3072653363
155	0.3070762518
156	0.3067858195
157	0.3065646033
158	0.3063660483
159	0.3061603176
160	0.305964466
161	0.3057380746
162	0.3055613161
163	0.30538487
164	0.3051686445
165	0.3049397583
166	0.304717227
167	0.3044992747
168	0.3042898838
169	0.3041087426
170	0.3039720353
171	0.3037896542
172	0.30362589
173	0.3034245674
174	0.3032560474
175	0.3031087644
176	0.3029876487
177	0.3028069647
178	0.3026636905
179	0.3025269655
180	0.3024323695
181	0.3023222755
182	0.302213411
183	0.3020544491
184	0.3019178271
185	0.3017696609
186	0.3016493112
187	0.3015162924
188	0.3013733064
189	0.3012433309
190	0.3011304128
191	0.301026038
192	0.3008980087
193	0.3007612822
194	0.3006335305
195	0.3005388886
196	0.300425006
197	0.3002945473
198	0.3001745019
199	0.3000739107
200	0.2999677695
201	0.2998434176
202	0.2997359928
203	0.2996478577
204	0.2995636066
205	0.2994675736
206	0.2993601424
207	0.2992866056
208	0.2992007649
209	0.2991068106
210	0.2990057334
211	0.2989332851
212	0.2988614917
213	0.2987721699
214	0.2986759803
215	0.2985872768
216	0.2985003677
217	0.2984138729
218	0.2983217379
219	0.2982316736
220	0.2981457922
221	0.2980914703
222	0.2980326024
223	0.2979440979
224	0.2978981665
225	0.2978231616
226	0.2977453449
227	0.2976815732
228	0.2976248805
229	0.2975500985
230	0.2974769947
231	0.2974005852
232	0.2973625109
233	0.2972843856
234	0.297222053
235	0.2971727259
236	0.2971209785
237	0.2970501606
238	0.296991945
239	0.2969287524
240	0.2968585246
241	0.2968069418
242	0.2967580015
243	0.2966930277
244	0.2966259969
245	0.2965745542
246	0.2965186691
247	0.2964698982
248	0.2964103418
249	0.2963633854
250	0.29631376
251	0.2962627297
252	0.2962196648
253	0.2961708119
254	0.2961331287
255	0.2960873147
256	0.2960477535
257	0.2959898152
258	0.2959500226
259	0.295894651
260	0.2958472922
261	0.2958037709
262	0.2957650638
263	0.2957281116
264	0.2956843773
265	0.2956474559
266	0.2956001732
267	0.2955593779
268	0.295516599
269	0.2954815917
270	0.2954481113
271	0.2954067871
272	0.2953683651
273	0.2953367256
274	0.2952986874
275	0.2952626277
276	0.2952288634
277	0.2951903571
278	0.2951615381
279	0.2951345134
280	0.2951102206
281	0.2950844848
282	0.2950528646
283	0.2950228234
284	0.2949834614
285	0.2949571311
286	0.294915034
287	0.2948813648
288	0.2948445348
289	0.2948092669
290	0.2947724739
291	0.2947417926
292	0.2947164156
293	0.2946890879
294	0.2946575813
295	0.2946307614
296	0.2946022769
297	0.2945638364
298	0.2945324116
299	0.2945055509
300	0.2944798494
301	0.2944483688
302	0.2944222611
303	0.2944030648
304	0.2943776462
305	0.2943537407
306	0.294329689
307	0.2943060807
308	0.2942831634
309	0.2942555178
310	0.2942211359
311	0.2942009325
312	0.2941702901
313	0.2941496487
314	0.2941251569
315	0.2941008229
316	0.2940808768
317	0.2940463214
318	0.2940302261
319	0.2940053511
320	0.2939816625
321	0.2939595793
322	0.2939322262
323	0.293903976
324	0.2938796999
325	0.2938543142
326	0.2938279071
327	0.2938010328
328	0.2937743813
329	0.2937546101
330	0.2937298261
331	0.2937122175
332	0.293680346
333	0.2936610224
334	0.2936363804
335	0.2936138955
336	0.2935969442
337	0.2935760253
338	0.2935525933
339	0.293532066
340	0.2935151502
341	0.2934933772
342	0.2934753383
343	0.2934501004
344	0.2934299473
345	0.2934104233
346	0.2933952196
347	0.2933729592
348	0.2933469075
349	0.2933340713
