iter	Passed	Remaining
0	52	5211
1	56	2747
2	59	1936
3	63	1520
4	66	1264
5	69	1093
6	72	968
7	76	874
8	79	798
9	81	737
10	85	690
11	88	650
12	91	614
13	94	582
14	97	554
15	100	529
16	103	507
17	106	486
18	110	469
19	113	452
20	116	437
21	119	423
22	122	410
23	125	397
24	128	385
25	131	374
26	134	363
27	137	354
28	140	344
29	143	335
30	147	327
31	150	318
32	153	310
33	156	302
34	158	295
35	161	287
36	164	280
37	168	274
38	172	269
39	175	263
40	178	256
41	181	250
42	184	244
43	187	238
44	190	233
45	193	227
46	196	222
47	199	216
48	202	211
49	205	205
50	209	200
51	212	195
52	215	190
53	220	187
54	223	183
55	226	178
56	229	173
57	233	168
58	236	164
59	240	160
60	243	155
61	247	151
62	251	147
63	254	143
64	257	138
65	260	134
66	264	130
67	267	125
68	271	121
69	274	117
70	277	113
71	280	109
72	283	104
73	286	100
74	289	96
75	292	92
76	295	88
77	298	84
78	301	80
79	304	76
80	307	72
81	311	68
82	314	64
83	317	60
84	320	56
85	324	52
86	327	48
87	330	45
88	334	41
89	337	37
90	340	33
91	344	29
92	347	26
93	351	22
94	354	18
95	357	14
96	360	11
97	363	7
98	366	3
99	370	0
