iter	Logloss
0	0.5334467017
1	0.4465607672
2	0.3918307759
3	0.3572509892
4	0.3351867443
5	0.3211398827
6	0.3133912807
7	0.3071390342
8	0.3028154905
9	0.3003390278
10	0.2990426529
11	0.2978195905
12	0.2969180437
13	0.2967034697
14	0.296293726
15	0.2959262202
16	0.2958195317
17	0.2957699279
18	0.2955289062
19	0.2953696215
20	0.2952692399
21	0.2950809065
22	0.2949879367
23	0.2949437421
24	0.2948902943
25	0.2948071762
26	0.2945786763
27	0.2944202663
28	0.2943887546
29	0.2943834145
30	0.2943653683
31	0.2943105855
32	0.2942626159
33	0.2942293779
34	0.2939645786
35	0.2938944427
36	0.2938736114
37	0.2938558645
38	0.2937195748
39	0.2936596819
40	0.2935325073
41	0.293482236
42	0.2934045502
43	0.2933305012
44	0.293245933
45	0.2931928995
46	0.293067152
47	0.2929839649
48	0.2929427627
49	0.2928888545
50	0.2928715909
51	0.2928186955
52	0.2927971967
53	0.2927671121
54	0.292657017
55	0.2926435284
56	0.2926119477
57	0.2925773746
58	0.2925169523
59	0.2924621464
60	0.292436067
61	0.2923932535
62	0.2923293785
63	0.2923084551
64	0.2922822836
65	0.2921748125
66	0.2921484338
67	0.2921260373
68	0.2921033645
69	0.2920875972
70	0.2920246199
71	0.2918869031
72	0.2918451714
73	0.2917481965
74	0.2916998126
75	0.291667058
76	0.291619779
77	0.2915443029
78	0.2915361545
79	0.2914723025
80	0.2914565352
