iter	Passed	Remaining
0	5	1094
1	9	969
2	13	904
3	17	879
4	21	854
5	25	819
6	28	789
7	31	766
8	35	744
9	38	730
10	41	721
11	45	709
12	48	702
13	52	698
14	56	696
15	60	690
16	63	680
17	66	671
18	69	663
19	72	655
20	76	650
21	79	645
22	82	637
23	86	631
24	89	624
25	92	619
26	96	617
27	99	611
28	102	605
29	106	602
30	110	601
31	113	595
32	116	590
33	119	585
34	123	583
35	126	577
36	130	573
37	133	568
38	136	563
39	139	558
40	142	553
41	146	549
42	149	546
43	153	542
44	156	539
45	159	535
46	163	531
47	166	527
48	169	522
49	172	518
50	176	514
51	179	510
52	182	507
53	186	504
54	190	500
55	193	497
56	196	493
57	199	489
58	203	485
59	206	481
60	209	477
61	213	474
62	216	471
63	220	468
64	223	464
65	227	461
66	230	458
67	234	454
68	237	450
69	240	446
70	243	442
71	247	440
72	250	436
73	254	433
74	257	429
75	260	425
76	263	421
77	266	417
78	269	413
79	273	409
80	276	405
81	279	401
82	282	398
83	285	394
84	289	391
85	292	387
86	295	384
87	298	380
88	302	377
89	306	374
90	309	370
91	312	367
92	316	363
93	319	360
94	322	356
95	326	353
96	329	349
97	332	346
98	336	342
99	339	339
100	342	335
101	346	332
102	349	329
103	352	325
104	356	322
105	359	318
106	362	315
107	365	311
108	369	308
109	372	304
110	375	301
111	378	297
112	381	293
113	384	290
114	387	286
115	391	283
116	394	279
117	397	276
118	400	272
119	403	269
120	407	265
121	410	262
122	413	258
123	416	255
124	419	251
125	423	248
126	426	245
127	429	241
128	432	238
129	436	234
130	439	231
131	443	228
132	447	225
133	450	222
134	453	218
135	457	215
136	460	211
137	464	208
138	467	205
139	470	201
140	474	198
141	477	194
142	481	191
143	484	188
144	488	185
145	491	181
146	494	178
147	498	174
148	501	171
149	505	168
150	509	165
151	512	161
152	516	158
153	519	155
154	522	151
155	525	148
156	528	144
157	532	141
158	535	138
159	538	134
160	541	131
161	544	127
162	548	124
163	551	120
164	554	117
165	557	114
166	560	110
167	564	107
168	567	104
169	570	100
170	573	97
171	576	93
172	579	90
173	582	87
174	586	83
175	589	80
176	592	76
177	595	73
178	599	70
179	602	66
180	605	63
181	608	60
182	611	56
183	614	53
184	618	50
185	621	46
186	624	43
187	628	40
188	631	36
189	634	33
190	637	30
191	640	26
192	643	23
193	647	20
194	650	16
195	654	13
196	657	10
197	661	6
198	664	3
199	667	0
